date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:20	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2006:31:48%20GMT	http://chemteachhelp.com/robots.txt		(from )
21:27:21	14751/14751	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2022:43:58%20GMT	http://chemteachhelp.com/	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/index.html	(from )
21:27:21	5407/5407	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2023:13:31%20GMT	http://chemteachhelp.com/sigfigurescsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/sigfigurescsn7.html	(from http://chemteachhelp.com/)
21:27:21	4194/4194	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:17:07%20GMT	http://chemteachhelp.com/exponentscsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/exponentscsn7.html	(from http://chemteachhelp.com/)
21:27:21	5474/5474	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:16:43%20GMT	http://chemteachhelp.com/directindirectcsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/directindirectcsn7.html	(from http://chemteachhelp.com/)
21:27:22	7132/7132	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:16:43%20GMT	http://chemteachhelp.com/diproblemscsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/diproblemscsn7.html	(from http://chemteachhelp.com/)
21:27:22	6215/6215	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:18:24%20GMT	http://chemteachhelp.com/scinotcsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/scinotcsn7.html	(from http://chemteachhelp.com/)
21:27:22	6203/6203	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:18:25%20GMT	http://chemteachhelp.com/smallerlargercsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/smallerlargercsn7.html	(from http://chemteachhelp.com/)
21:27:22	4577/4577	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:17:59%20GMT	http://chemteachhelp.com/percentscsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/percentscsn7.html	(from http://chemteachhelp.com/)
21:27:23	4493/4493	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:16:42%20GMT	http://chemteachhelp.com/densitycsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/densitycsn7.html	(from http://chemteachhelp.com/)
21:27:23	6973/6973	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:18:41%20GMT	http://chemteachhelp.com/wavefreqcsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/wavefreqcsn7.html	(from http://chemteachhelp.com/)
21:27:23	6445/6445	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:16:42%20GMT	http://chemteachhelp.com/densitywpcsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/densitywpcsn7.html	(from http://chemteachhelp.com/)
21:27:23	9792/9792	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:18:26%20GMT	http://chemteachhelp.com/thesamecsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/thesamecsn7.html	(from http://chemteachhelp.com/)
21:27:24	9139/9139	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:16:41%20GMT	http://chemteachhelp.com/comparecsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/comparecsn7.html	(from http://chemteachhelp.com/)
21:27:24	9095/9095	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:18:41%20GMT	http://chemteachhelp.com/whichisitcsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/whichisitcsn7.html	(from http://chemteachhelp.com/)
21:27:25	13073/13073	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:17:43%20GMT	http://chemteachhelp.com/mixeddensitycsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/mixeddensitycsn7.html	(from http://chemteachhelp.com/)
21:27:25	5066/5066	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:17:59%20GMT	http://chemteachhelp.com/pApBcsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/pApBcsn7.html	(from http://chemteachhelp.com/)
21:27:25	4494/4494	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:16:41%20GMT	http://chemteachhelp.com/convertvolcsn7.html	G:/My%20Drive/csudh/csudh1-chemteachhelp/chemteachhelp/chemteachhelp.com/convertvolcsn7.html	(from http://chemteachhelp.com/)
